FILE NAME,THETA_X,THETA_Y,EXPECTED_Y,THETA_Z,HEAD_CENTER_X,HEAD_CENTER_Y,HEAD_CENTER_Z
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_4_1.raw,-1.92942,22.977,11.023,-1.33199,33.915,18.432,737.602
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_4_2.raw,-4.01468,17.5048,16.4952,-0.834844,38.3139,12.9162,740.347
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_4_3.raw,-6.39258,21.0939,12.9061,0.239406,36.8898,14.2609,740.932
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_5_1.raw,-5.05318,20.4925,-2.99254,-0.361609,37.7579,12.7846,740.643
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_5_2.raw,-6.9151,21.0861,-3.58607,-0.239434,37.3816,12.2759,740.958
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_5_3.raw,-5.01131,19.3854,-1.88541,-1.09258,39.021,11.5603,740.939
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_6_1.raw,-5.59457,20.6068,4.89323,-0.958597,37.6706,12.1939,739.539
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_6_2.raw,-9.43277,19.4158,6.08425,-0.235101,39.3451,8.83355,740.832
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_6_3.raw,-8.7065,16.8044,8.69562,-0.246147,41.1131,9.51278,740.135
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_7_1.raw,-8.737,19.7097,-10.2097,0.457103,39.2034,11.0707,739.126
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_7_2.raw,-6.69726,19.8202,-10.3202,-0.781158,38.9279,13.3879,739.148
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_7_3.raw,-5.91417,20.2303,-10.7303,-0.829872,38.3128,11.5948,738.391
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_8_1.raw,-7.28099,19.59,-10.09,-0.571861,38.5241,12.5885,738.403
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_8_2.raw,-6.1234,21.1276,-11.6276,-0.957424,37.5383,12.9237,738.665
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_8_3.raw,-6.99101,19.9102,-10.4102,-0.815412,38.15,12.5814,737.804
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_9_1.raw,-7.80115,20.6684,4.83163,-0.184341,38.4718,11.9972,739.027
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_9_2.raw,-8.15131,19.3196,6.18036,0.789425,39.1478,11.3864,739.886
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1306.2.N/DP_9_3.raw,-8.97556,20.1882,5.31176,1.1548,38.6898,11.3237,740.609
,
